City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Escanaba,US,55.0,overcast clouds,45.7453,-87.0646,Sunset Lodge
624,Baghdad,IQ,66.2,clear sky,33.3406,44.4009,Baghdad Hotel
626,Rocha,UY,67.3,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
627,Kot Diji,PK,69.8,haze,27.3427,68.7083,"Heritage Park, Restaurant & Guesthouse Kotdiji"
628,Recke,DE,46.4,moderate rain,52.3833,7.7167,Landgasthof Neumeister
630,Port Macquarie,AU,69.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
631,Mahon,ES,51.8,clear sky,39.8885,4.2658,ARTIEM Capri
632,Ferrol,ES,52.0,broken clouds,43.4832,-8.2369,Carrís Almirante
633,Pomabamba,PE,50.94,moderate rain,-8.8333,-77.4667,VIVIENDA - ELSA CABELLO
634,Coquimbo,CL,59.0,clear sky,-29.9533,-71.3436,Punto de encuentro
635,Melfi,IT,39.99,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
639,Hastings,GB,39.99,overcast clouds,50.8552,0.5729,Zanzibar Hotel
641,Kupino,RU,33.96,overcast clouds,54.3663,77.2981,Hotel Sibiria Inn
642,Ponta Delgada,PT,60.8,mist,37.7333,-25.6667,Vila Nova Hotel
643,Balzers,LI,48.0,overcast clouds,47.0667,9.5,Hotel Hofbalzers
644,Rochelle,FR,53.6,overcast clouds,46.25,-1.0,Le Clos des Palmiers
645,Honningsvag,NO,32.5,light snow,70.9821,25.9704,Nordkapp Vandrerhjem
647,Leshukonskoye,RU,37.85,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
648,Toppenish,US,53.6,clear sky,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
652,Hami,CN,50.72,scattered clouds,42.8,93.45,Laoyutang Resort
653,Chapais,CA,59.0,clear sky,49.7834,-74.8492,Hôtel Opémiska
654,Cardston,CA,37.4,light snow,49.2,-113.3019,Flamingo Motel
655,Pulandian,CN,51.8,clear sky,39.3953,121.9669,HR East Hotel
657,Samfya,ZM,63.52,light rain,-11.3649,29.5565,Chita Lodge Samfya
658,Kortkeros,RU,32.0,clear sky,61.8106,51.5806,SCP FOUNDATION
659,Aswan,EG,63.16,clear sky,24.0934,32.907,Nuba Nile
660,West Fargo,US,57.2,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
662,Ozinki,RU,59.58,broken clouds,51.1786,49.6769,at Rest
664,Markova,UA,37.17,clear sky,48.6758,24.4138,Kempinh
666,Gilgit,PK,51.37,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
668,Hannibal,US,46.4,moderate rain,39.7084,-91.3585,Country Hearth Inn Hannibal
671,Staphorst,NL,36.0,overcast clouds,52.645,6.2111,Hotel & Restaurant Waanders
672,America Dourada,BR,68.5,scattered clouds,-11.4553,-41.4361,Pousada do Ninho
674,Khawhai,IN,54.64,broken clouds,23.3667,93.1167,Homestay Khawhai
675,Nyuksenitsa,RU,33.91,few clouds,60.4128,44.2397,Zhemchuzhina Suhony
677,Lewiston,US,66.2,scattered clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
678,Vengerovo,RU,31.03,broken clouds,55.6848,76.7471,Gostinitsa
682,Livingstonia,MW,62.69,moderate rain,-10.606,34.1063,Stone House Guest House
684,Chany,RU,32.85,overcast clouds,55.3121,76.7647,Gostinitsa
685,Killybegs,IE,37.4,broken clouds,54.6333,-8.45,Tara Hotel
687,Ilam,NP,63.28,clear sky,26.9167,87.9167,Chiyabari Cottage
688,Wuwei,CN,47.12,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
689,Tongliao,CN,56.68,overcast clouds,43.6125,122.2653,Meirujia Hotel
692,Alice Springs,AU,64.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
